rank,name
50,Al Kaline
49,Nap Lajoie
48,Bob Feller
47,Albert Pujols
46,Sandy Koufax
45,Yogi Berra
44,Pedro Martinez
43,Warren Spahn
43,Jackie Robinson
41,Pete Rose
40,Eddie Collins

